country,country_url,cardURL
Ghana,https://openaq.org/#/locations?parameters=pm25&countries=GH&_k=ensnho,https://openaq.org/#/location/ELA%20-%20East%20Legon
Ghana,https://openaq.org/#/locations?parameters=pm25&countries=GH&_k=ensnho,https://openaq.org/#/location/ELC%20-%20East%20Legon
Ghana,https://openaq.org/#/locations?parameters=pm25&countries=GH&_k=ensnho,https://openaq.org/#/location/ELT%20-%20East%20Legon
Ghana,https://openaq.org/#/locations?parameters=pm25&countries=GH&_k=ensnho,https://openaq.org/#/location/JTA%20-%20Jamestown
Ghana,https://openaq.org/#/locations?parameters=pm25&countries=GH&_k=ensnho,https://openaq.org/#/location/JTC%20-%20Jamestown
Ghana,https://openaq.org/#/locations?parameters=pm25&countries=GH&_k=ensnho,https://openaq.org/#/location/JTT%20-%20Jamestown
Ghana,https://openaq.org/#/locations?parameters=pm25&countries=GH&_k=ensnho,https://openaq.org/#/location/NMA%20-%20Nima
Ghana,https://openaq.org/#/locations?parameters=pm25&countries=GH&_k=ensnho,https://openaq.org/#/location/NMT%20-%20Nima
Ghana,https://openaq.org/#/locations?parameters=pm25&countries=GH&_k=ensnho,https://openaq.org/#/location/US%20Diplomatic%20Post%3A%20Accra
Gibraltar,https://openaq.org/#/locations?parameters=pm25&countries=GI&_k=iwr00o,
Greece,https://openaq.org/#/locations?parameters=pm25&countries=GR&_k=xi9z4d,https://openaq.org/#/location/GR0003A
Greece,https://openaq.org/#/locations?parameters=pm25&countries=GR&_k=xi9z4d,https://openaq.org/#/location/GR0030A
Greece,https://openaq.org/#/locations?parameters=pm25&countries=GR&_k=xi9z4d,https://openaq.org/#/location/GR0035A
Greece,https://openaq.org/#/locations?parameters=pm25&countries=GR&_k=xi9z4d,https://openaq.org/#/location/GR0037A
Greece,https://openaq.org/#/locations?parameters=pm25&countries=GR&_k=xi9z4d,https://openaq.org/#/location/GR0038A
Greece,https://openaq.org/#/locations?parameters=pm25&countries=GR&_k=xi9z4d,https://openaq.org/#/location/GR0039A
Greece,https://openaq.org/#/locations?parameters=pm25&countries=GR&_k=xi9z4d,https://openaq.org/#/location/GR0048A
Greece,https://openaq.org/#/locations?parameters=pm25&countries=GR&_k=xi9z4d,https://openaq.org/#/location/GR0001A
Greece,https://openaq.org/#/locations?parameters=pm25&countries=GR&_k=xi9z4d,https://openaq.org/#/location/GR0018A
Greece,https://openaq.org/#/locations?parameters=pm25&countries=GR&_k=xi9z4d,https://openaq.org/#/location/GR0047A
Greece,https://openaq.org/#/locations?parameters=pm25&countries=GR&_k=xi9z4d,https://openaq.org/#/location/GR0110R
Guatemala,https://openaq.org/#/locations?parameters=pm25&countries=GT&_k=bf7h0a,https://openaq.org/#/location/US%20Diplomatic%20Post%3A%20Guatemala%20City
Guatemala,https://openaq.org/#/locations?parameters=pm25&countries=GT&_k=bf7h0a,https://openaq.org/#/location/Guatemala%20City
Guinea,https://openaq.org/#/locations?parameters=pm25&countries=GN&_k=fn6exn,https://openaq.org/#/location/US%20Diplomatic%20Post%3A%20Conakry
Hong Kong,https://openaq.org/#/locations?parameters=pm25&countries=HK&_k=wt8d6f,https://openaq.org/#/location/Causeway%20Bay
Hong Kong,https://openaq.org/#/locations?parameters=pm25&countries=HK&_k=wt8d6f,https://openaq.org/#/location/Central
Hong Kong,https://openaq.org/#/locations?parameters=pm25&countries=HK&_k=wt8d6f,https://openaq.org/#/location/Central%2FWestern
Hong Kong,https://openaq.org/#/locations?parameters=pm25&countries=HK&_k=wt8d6f,https://openaq.org/#/location/Eastern
Hong Kong,https://openaq.org/#/locations?parameters=pm25&countries=HK&_k=wt8d6f,https://openaq.org/#/location/Kwun%20Tong
Hong Kong,https://openaq.org/#/locations?parameters=pm25&countries=HK&_k=wt8d6f,https://openaq.org/#/location/Mong%20Kok
Hong Kong,https://openaq.org/#/locations?parameters=pm25&countries=HK&_k=wt8d6f,https://openaq.org/#/location/Sham%20Shui%20Po
Hong Kong,https://openaq.org/#/locations?parameters=pm25&countries=HK&_k=wt8d6f,https://openaq.org/#/location/Kwai%20Chung
Hong Kong,https://openaq.org/#/locations?parameters=pm25&countries=HK&_k=wt8d6f,https://openaq.org/#/location/Sha%20Tin
Hong Kong,https://openaq.org/#/locations?parameters=pm25&countries=HK&_k=wt8d6f,https://openaq.org/#/location/Tai%20Po
Hong Kong,https://openaq.org/#/locations?parameters=pm25&countries=HK&_k=wt8d6f,https://openaq.org/#/location/Tsuen%20Wan
Hong Kong,https://openaq.org/#/locations?parameters=pm25&countries=HK&_k=wt8d6f,https://openaq.org/#/location/Tung%20Chung
Hong Kong,https://openaq.org/#/locations?parameters=pm25&countries=HK&_k=wt8d6f,https://openaq.org/#/location/Yuen%20Long
Hong Kong,https://openaq.org/#/locations?parameters=pm25&countries=HK&_k=wt8d6f,https://openaq.org/#/location/Tuen%20Mun
Hong Kong,https://openaq.org/#/locations?parameters=pm25&countries=HK&_k=wt8d6f,https://openaq.org/#/location/Tseung%20Kwan%20O
Hungary,https://openaq.org/#/locations?parameters=pm25&countries=HU&_k=kblu3d,https://openaq.org/#/location/HU0029A
Hungary,https://openaq.org/#/locations?parameters=pm25&countries=HU&_k=kblu3d,https://openaq.org/#/location/HU0026A
Hungary,https://openaq.org/#/locations?parameters=pm25&countries=HU&_k=kblu3d,https://openaq.org/#/location/HU0022A
Hungary,https://openaq.org/#/locations?parameters=pm25&countries=HU&_k=kblu3d,https://openaq.org/#/location/HU0057A
Hungary,https://openaq.org/#/locations?parameters=pm25&countries=HU&_k=kblu3d,https://openaq.org/#/location/HU0033A
Hungary,https://openaq.org/#/locations?parameters=pm25&countries=HU&_k=kblu3d,https://openaq.org/#/location/HU0024A
Hungary,https://openaq.org/#/locations?parameters=pm25&countries=HU&_k=kblu3d,https://openaq.org/#/location/HU0025A
Hungary,https://openaq.org/#/locations?parameters=pm25&countries=HU&_k=kblu3d,https://openaq.org/#/location/HU0039A
Hungary,https://openaq.org/#/locations?parameters=pm25&countries=HU&_k=kblu3d,https://openaq.org/#/location/HU0034A
Iceland,https://openaq.org/#/locations?parameters=pm25&countries=IS&_k=ndof5j,https://openaq.org/#/location/Grundartangi%20Gr%C3%B6f
Iceland,https://openaq.org/#/locations?parameters=pm25&countries=IS&_k=ndof5j,https://openaq.org/#/location/Grundartangi%20Kr%C3%ADuvar%C3%B0a
Iceland,https://openaq.org/#/locations?parameters=pm25&countries=IS&_k=ndof5j,https://openaq.org/#/location/Hafnarfj%C3%B6r%C3%B0ur%20Hvaleyrarholt
Iceland,https://openaq.org/#/locations?parameters=pm25&countries=IS&_k=ndof5j,https://openaq.org/#/location/Hafnarfj%C3%B6r%C3%B0ur%20Nor%C3%B0urhella
Iceland,https://openaq.org/#/locations?parameters=pm25&countries=IS&_k=ndof5j,https://openaq.org/#/location/PCC%20nor%C3%B0ur
Iceland,https://openaq.org/#/locations?parameters=pm25&countries=IS&_k=ndof5j,https://openaq.org/#/location/PCC%20su%C3%B0ur
Iceland,https://openaq.org/#/locations?parameters=pm25&countries=IS&_k=ndof5j,https://openaq.org/#/location/K%C3%B3pavogur%20Dalsm%C3%A1ri
Iceland,https://openaq.org/#/locations?parameters=pm25&countries=IS&_k=ndof5j,https://openaq.org/#/location/Reykjavik%20Grensas
Iceland,https://openaq.org/#/locations?parameters=pm25&countries=IS&_k=ndof5j,https://openaq.org/#/location/Reykjavik%20Husdyragardurinn
India,https://openaq.org/#/locations?parameters=pm25&countries=IN&_k=4wc5i2,https://openaq.org/#/location/Sanjay%20Palace%2C%20Agra%20-%20UPPCB
India,https://openaq.org/#/locations?parameters=pm25&countries=IN&_k=4wc5i2,https://openaq.org/#/location/Maninagar%2C%20Ahmedabad%20-%20GPCB
India,https://openaq.org/#/locations?parameters=pm25&countries=IN&_k=4wc5i2,https://openaq.org/#/location/Sikulpuikawn%2C%20Aizawl%20-%20Mizoram%20PCB
India,https://openaq.org/#/locations?parameters=pm25&countries=IN&_k=4wc5i2,https://openaq.org/#/location/Civil%20Lines%2C%20%20Ajmer%20-%20RSPCB
India,https://openaq.org/#/locations?parameters=pm25&countries=IN&_k=4wc5i2,https://openaq.org/#/location/Moti%20Doongri%2C%20Alwar%20-%20RSPCB
India,https://openaq.org/#/locations?parameters=pm25&countries=IN&_k=4wc5i2,https://openaq.org/#/location/Secretariat%2C%20Amaravati%20-%20APPCB
India,https://openaq.org/#/locations?parameters=pm25&countries=IN&_k=4wc5i2,https://openaq.org/#/location/Patti%20Mehar%2C%20Ambala%20-%20HSPCB
India,https://openaq.org/#/locations?parameters=pm25&countries=IN&_k=4wc5i2,https://openaq.org/#/location/Golden%20Temple%2C%20Amritsar%20-%20PPCB
