country,card_url,general,country_link,city,PM2.5,date,hour
Colombia,https://openaq.org/#/location/GIR-SOSN%20-%20Girardota%20-%20S.O.S%20Aburr%C3%A1%20Norte,,,,,,
Colombia,https://openaq.org/#/location/ITA-CJUS%20-%20Itag%C3%BC%C3%AD%20-%20Casa%20de%20Justicia%20Itag%C3%BC%C3%AD,,,,,,
Costa Rica,https://openaq.org/#/location/US%20Diplomatic%20Post%3A%20San%20Jose,,,,,,
Croatia,https://openaq.org/#/location/HR0010A,,,,,,
Croatia,https://openaq.org/#/location/HR0020A,,,,,,
Croatia,https://openaq.org/#/location/HR0015A,,,,,,
Croatia,https://openaq.org/#/location/HR0012A,,,,,,
Croatia,https://openaq.org/#/location/HR0013A,,,,,,
Croatia,https://openaq.org/#/location/HR0011A,Santa Margarita,Chile,"Catemu,",,,
Curaçao,https://openaq.org/#/location/US%20Diplomatic%20Post%3A%20Curacao,,,,,,
Czech Republic,https://openaq.org/#/location/CZ0ALIB,,,,,,
Czech Republic,https://openaq.org/#/location/CZ0ARIE,,,,,,
Czech Republic,https://openaq.org/#/location/CZ0ASMI,,,,,,
Czech Republic,https://openaq.org/#/location/CZ0ASTO,,,,,,
Czech Republic,https://openaq.org/#/location/CZ0CCBD,,,,,,
Czech Republic,https://openaq.org/#/location/CZ0BBDN,Beijing US Embassy,China,"Beijing,",,,
Czech Republic,https://openaq.org/#/location/CZ0BBNI,Chengdu,Switzerland,"N/A,",,,
Czech Republic,https://openaq.org/#/location/CZ0BBNV,,,,,,
Côte d'Ivoire,https://openaq.org/#/location/US%20Diplomatic%20Post%3A%20Abidjan,人民广场,China,"七台河市,",,,
Estonia,https://openaq.org/#/location/EE0018A,新建矿广场,China,"七台河市,",,,
Estonia,https://openaq.org/#/location/EE0019A,河东子站,China,"三亚市,",,,
Estonia,https://openaq.org/#/location/EE0022A,三元区政府,China,"三明市,",,,
Estonia,https://openaq.org/#/location/EE0016A,BAR-TORR - Barbosa - Torre Social,Colombia,"Barbosa,",,,
Estonia,https://openaq.org/#/location/EE0009R,,,,,,
Estonia,https://openaq.org/#/location/EE0011R,CAL-JOAR - Caldas - E U Joaquín Aristizabal,Colombia,"Caldas,",,,
Estonia,https://openaq.org/#/location/EE0021A,,,,,,
